BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;75839;-1;<p:>;;;;;;;;;;
75840;1919;0;h;;He;h i:;;;;;;;
77760;2879;0;i:;;He;h i:;;;;;;;
80640;3359;1;w;;was;w Q z;;;;;;;
84000;1919;1;@;;was;w Q z;;;;;;;
85920;4319;1;z;;was;w Q z;;;;;;;
90240;4799;2;k;;cast;k A: s t;;;;;;;
95040;5279;2;A:;;cast;k A: s t;;;;;;;
100320;3839;2;s;;cast;k A: s t;;;;;;;
104160;2879;2;t;;cast;k A: s t;;;;;;;
107040;1439;3;I;;in;I n;;;;;;;
108480;3359;3;n;;in;I n;;;;;;;
111840;1439;4;D;;the;D @;;;;;;;
113280;4319;4;@;;the;D @;;;;;;;
117600;2879;5;t;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
120480;4319;5;u:;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
124800;1919;5;T;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
126720;8159;5;aU;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
134880;4319;5;z;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
139200;4799;5;n;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
144000;1439;5;d;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
145440;1439;5;f;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
146880;10559;5;aI;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
157440;1439;5;v;;two-thousand-five;t u: T aU z @ n d f aI v;;;;;;;
158880;3839;6;T;;theatre;T I@ t @;;;;;;;
162720;8639;6;I@;;theatre;T I@ t @;;;;;;;
171360;1439;6;t;;theatre;T I@ t @;;;;;;;
172800;6239;6;@;;theatre;T I@ t @;;;;;;;
179040;1439;7;p;;productions;p r @ d V k S @ n z;;;;;;;
180480;1439;7;r;;productions;p r @ d V k S @ n z;;;;;;;
181920;4799;7;@;;productions;p r @ d V k S @ n z;;;;;;;
186720;1439;7;d;;productions;p r @ d V k S @ n z;;;;;;;
188160;5759;7;V;;productions;p r @ d V k S @ n z;;;;;;;
193920;1439;7;k;;productions;p r @ d V k S @ n z;;;;;;;
195360;4319;7;S;;productions;p r @ d V k S @ n z;;;;;;;
199680;4319;7;n;;productions;p r @ d V k S @ n z;;;;;;;
