BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;42719;-1;<p:>;;;;;;;;;;
42720;2879;0;h;;He;h i:;;;;;;;
45600;4799;0;i:;;He;h i:;;;;;;;
50400;1439;1;h;;had;h { d;;;;;;;
51840;4319;1;{;;had;h { d;;;;;;;
56160;1439;1;d;;had;h { d;;;;;;;
57600;4799;2;eI;;a;eI;;;;;;;
62400;2399;3;g;;guest;g e s t;;;;;;;
64800;4319;3;e;;guest;g e s t;;;;;;;
69120;4079;3;s;;guest;g e s t;;;;;;;
73200;5999;4;r;;role;r @U l;;;;;;;
79200;1919;4;@U;;role;r @U l;;;;;;;
81120;6239;4;l;;role;r @U l;;;;;;;
87360;1439;5;I;;in;I n;;;;;;;
88800;2879;5;n;;in;I n;;;;;;;
91680;1439;6;D;;the;D @;;;;;;;
93120;4799;6;I;;the;D @;;;;;;;
97920;2879;7;t;;television;t e l I v I Z @ n;;;;;;;
100800;2879;7;e;;television;t e l I v I Z @ n;;;;;;;
103680;5279;7;l;;television;t e l I v I Z @ n;;;;;;;
108960;1439;7;I;;television;t e l I v I Z @ n;;;;;;;
110400;3839;7;v;;television;t e l I v I Z @ n;;;;;;;
114240;5279;7;I;;television;t e l I v I Z @ n;;;;;;;
119520;1919;7;Z;;television;t e l I v I Z @ n;;;;;;;
121440;3359;7;@;;television;t e l I v I Z @ n;;;;;;;
124800;3359;7;n;;television;t e l I v I Z @ n;;;;;;;
128160;6719;8;s;;series;s I@ r i: z;;;;;;;
134880;4319;8;I@;;series;s I@ r i: z;;;;;;;
139200;2399;8;r;;series;s I@ r i: z;;;;;;;
141600;2879;8;i:;;series;s I@ r i: z;;;;;;;
144480;4799;8;z;;series;s I@ r i: z;;;;;;;
149280;3839;9;dZ;;Judge;dZ V dZ;;;;;;;
153120;5759;9;V;;Judge;dZ V dZ;;;;;;;
158880;3359;9;dZ;;Judge;dZ V dZ;;;;;;;
162240;3839;10;dZ;;John;dZ Q n;;;;;;;
166080;6719;10;Q;;John;dZ Q n;;;;;;;
172800;3839;10;n;;John;dZ Q n;;;;;;;
176640;1439;11;d;;Deed;d i: d;;;;;;;
178080;6239;11;i:;;Deed;d i: d;;;;;;;
184320;1439;11;d;;Deed;d i: d;;;;;;;
185760;2399;12;I;;in;I n;;;;;;;
188160;4799;12;n;;in;I n;;;;;;;
192960;2879;13;t;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
195840;4319;13;u:;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
200160;1439;13;T;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
201600;8159;13;aU;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
209760;4319;13;z;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
214080;1919;13;@;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
216000;4799;13;n;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
220800;1439;13;d;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
222240;3839;13;t;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
226080;14879;13;u:;;two-thousand-two;t u: T aU z @ n d t u:;;;;;;;
240960;12991;-1;<p:>;;;;;;;;;;
