BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;45119;-1;<p:>;;;;;;;;;;
45120;2879;0;h;;He;h i:;;;;;;;
48000;2879;0;i:;;He;h i:;;;;;;;
50880;4319;1;w;;was;w Q z;;;;;;;
55200;1439;1;@;;was;w Q z;;;;;;;
56640;3359;1;z;;was;w Q z;;;;;;;
60000;3839;2;d;;directed;d I r e k t I d;;;;;;;
63840;1919;2;I;;directed;d I r e k t I d;;;;;;;
65760;2399;2;r;;directed;d I r e k t I d;;;;;;;
68160;7679;2;e;;directed;d I r e k t I d;;;;;;;
75840;1439;2;k;;directed;d I r e k t I d;;;;;;;
77280;1919;2;t;;directed;d I r e k t I d;;;;;;;
79200;2879;2;I;;directed;d I r e k t I d;;;;;;;
82080;2879;2;d;;directed;d I r e k t I d;;;;;;;
84960;1439;3;b;;by;b aI;;;;;;;
86400;8159;3;aI;;by;b aI;;;;;;;
94560;3359;4;dZ;;John;dZ Q n;;;;;;;
97920;6239;4;Q;;John;dZ Q n;;;;;;;
104160;4319;4;n;;John;dZ Q n;;;;;;;
108480;3839;5;t;;Tiffany;t I f @ n I;;;;;;;
112320;2879;5;I;;Tiffany;t I f @ n I;;;;;;;
115200;1439;5;f;;Tiffany;t I f @ n I;;;;;;;
116640;4799;5;@;;Tiffany;t I f @ n I;;;;;;;
121440;1919;5;n;;Tiffany;t I f @ n I;;;;;;;
123360;5279;5;I;;Tiffany;t I f @ n I;;;;;;;
128640;1439;6;{;;and;@ n d;;;;;;;
130080;3839;6;n;;and;@ n d;;;;;;;
133920;4799;7;s;;starred;s t A: d;;;;;;;
138720;2879;7;t;;starred;s t A: d;;;;;;;
141600;7199;7;A:;;starred;s t A: d;;;;;;;
148800;1439;7;d;;starred;s t A: d;;;;;;;
150240;2399;8;@;;alongside;@ l Q N s aI d;;;;;;;
152640;2399;8;l;;alongside;@ l Q N s aI d;;;;;;;
155040;6239;8;Q;;alongside;@ l Q N s aI d;;;;;;;
161280;2879;8;N;;alongside;@ l Q N s aI d;;;;;;;
164160;4319;8;s;;alongside;@ l Q N s aI d;;;;;;;
168480;10559;8;aI;;alongside;@ l Q N s aI d;;;;;;;
179040;1439;8;d;;alongside;@ l Q N s aI d;;;;;;;
180480;1439;9;b;;Ben;b e n;;;;;;;
181920;4319;9;e;;Ben;b e n;;;;;;;
186240;4799;9;n;;Ben;b e n;;;;;;;
191040;2879;10;w;;Whishaw;w I S O:;;;;;;;
193920;1919;10;I;;Whishaw;w I S O:;;;;;;;
195840;5759;10;S;;Whishaw;w I S O:;;;;;;;
201600;15359;10;U@;;Whishaw;w I S O:;;;;;;;
216960;5279;-1;<p:>;;;;;;;;;;
222240;5759;11;S;;Shane;S eI n;;;;;;;
228000;4319;11;eI;;Shane;S eI n;;;;;;;
232320;5279;11;n;;Shane;S eI n;;;;;;;
237600;2879;12;z;;Zaza;z A: z @;;;;;;;
240480;9599;12;A:;;Zaza;z A: z @;;;;;;;
250080;1439;12;z;;Zaza;z A: z @;;;;;;;
251520;19679;12;@;;Zaza;z A: z @;;;;;;;
271200;6239;13;h;;Harry;h { r I;;;;;;;
277440;4799;13;{;;Harry;h { r I;;;;;;;
282240;1919;13;r;;Harry;h { r I;;;;;;;
284160;6719;13;I;;Harry;h { r I;;;;;;;
290880;3359;14;k;;Kent;k e n t;;;;;;;
294240;8639;14;e;;Kent;k e n t;;;;;;;
302880;15839;14;n;;Kent;k e n t;;;;;;;
318720;5279;15;f;;Fraser;f r eI s @;;;;;;;
324000;1439;15;r;;Fraser;f r eI s @;;;;;;;
325440;8639;15;eI;;Fraser;f r eI s @;;;;;;;
334080;1439;15;s;;Fraser;f r eI s @;;;;;;;
335520;6239;15;@;;Fraser;f r eI s @;;;;;;;
341760;5279;16;eI;;Ayres;eI @ z;;;;;;;
347040;8639;16;@;;Ayres;eI @ z;;;;;;;
355680;6239;16;z;;Ayres;eI @ z;;;;;;;
361920;9119;-1;<p:>;;;;;;;;;;
371040;6719;17;s;;Sophie;s @U f I;;;;;;;
377760;7679;17;@U;;Sophie;s @U f I;;;;;;;
385440;1439;17;f;;Sophie;s @U f I;;;;;;;
386880;5759;17;I;;Sophie;s @U f I;;;;;;;
392640;3839;18;s;;Stanton;s t { n t @ n;;;;;;;
396480;2879;18;t;;Stanton;s t { n t @ n;;;;;;;
399360;5759;18;{;;Stanton;s t { n t @ n;;;;;;;
405120;4319;18;n;;Stanton;s t { n t @ n;;;;;;;
409440;1439;18;t;;Stanton;s t { n t @ n;;;;;;;
410880;5279;18;n;;Stanton;s t { n t @ n;;;;;;;
416160;1919;19;{;;and;@ n d;;;;;;;
418080;4799;19;n;;and;@ n d;;;;;;;
422880;1919;20;d;;Dominic;d Q m I n I k;;;;;;;
424800;5759;20;Q;;Dominic;d Q m I n I k;;;;;;;
430560;2399;20;m;;Dominic;d Q m I n I k;;;;;;;
432960;2879;20;I;;Dominic;d Q m I n I k;;;;;;;
435840;2879;20;n;;Dominic;d Q m I n I k;;;;;;;
438720;4319;20;I;;Dominic;d Q m I n I k;;;;;;;
443040;1439;20;k;;Dominic;d Q m I n I k;;;;;;;
444480;4799;21;h;;Hall;h O: l;;;;;;;
449280;7199;21;O:;;Hall;h O: l;;;;;;;
456480;14399;21;l;;Hall;h O: l;;;;;;;
470880;16543;-1;<p:>;;;;;;;;;;
