BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;33119;-1;<p:>;;;;;;;;;;
33120;1919;0;i:;;equals;i: k w @ l z;;;;;;;
35040;1439;0;k;;equals;i: k w @ l z;;;;;;;
36480;1439;0;w;;equals;i: k w @ l z;;;;;;;
37920;1439;0;@;;equals;i: k w @ l z;;;;;;;
39360;1439;0;l;;equals;i: k w @ l z;;;;;;;
40800;1439;0;z;;equals;i: k w @ l z;;;;;;;
42240;1439;1;r;;Robert;r Q b @ t;;;;;;;
43680;1439;1;Q;;Robert;r Q b @ t;;;;;;;
45120;1439;1;b;;Robert;r Q b @ t;;;;;;;
46560;6239;1;@;;Robert;r Q b @ t;;;;;;;
52800;1439;1;t;;Robert;r Q b @ t;;;;;;;
54240;1439;2;b;;Boulter;b u: l t @;;;;;;;
55680;1919;2;u:;;Boulter;b u: l t @;;;;;;;
57600;7679;2;l;;Boulter;b u: l t @;;;;;;;
65280;1919;2;t;;Boulter;b u: l t @;;;;;;;
67200;1439;2;@;;Boulter;b u: l t @;;;;;;;
68640;1919;3;i:;;equals;i: k w @ l z;;;;;;;
70560;1439;3;k;;equals;i: k w @ l z;;;;;;;
72000;1439;3;w;;equals;i: k w @ l z;;;;;;;
73440;5279;3;@;;equals;i: k w @ l z;;;;;;;
78720;2399;3;l;;equals;i: k w @ l z;;;;;;;
81120;1439;3;z;;equals;i: k w @ l z;;;;;;;
82560;5759;-1;<p:>;;;;;;;;;;
88320;3359;4;r;;Robert;r Q b @ t;;;;;;;
91680;7199;4;Q;;Robert;r Q b @ t;;;;;;;
98880;1439;4;b;;Robert;r Q b @ t;;;;;;;
100320;5759;4;@;;Robert;r Q b @ t;;;;;;;
106080;1439;4;t;;Robert;r Q b @ t;;;;;;;
107520;1439;5;b;;Boulter;b u: l t @;;;;;;;
108960;1919;5;u:;;Boulter;b u: l t @;;;;;;;
110880;8159;5;l;;Boulter;b u: l t @;;;;;;;
119040;4799;5;t;;Boulter;b u: l t @;;;;;;;
123840;2399;5;@;;Boulter;b u: l t @;;;;;;;
126240;4319;6;I;;is;I z;;;;;;;
130560;4319;6;z;;is;I z;;;;;;;
134880;1919;7;@;;an;{ n;;;;;;;
136800;3359;7;n;;an;{ n;;;;;;;
140160;1919;8;I;;English;I N g l I S;;;;;;;
142080;5279;8;N;;English;I N g l I S;;;;;;;
147360;1439;8;g;;English;I N g l I S;;;;;;;
148800;3359;8;l;;English;I N g l I S;;;;;;;
152160;1919;8;I;;English;I N g l I S;;;;;;;
154080;2879;8;S;;English;I N g l I S;;;;;;;
156960;2879;-1;<p:>;;;;;;;;;;
159840;1919;9;f;;film;f I l m;;;;;;;
161760;4799;9;I;;film;f I l m;;;;;;;
166560;6719;9;l;;film;f I l m;;;;;;;
173280;15359;9;m;;film;f I l m;;;;;;;
188640;5279;10;t;;television;t e l I v I Z @ n;;;;;;;
193920;3359;10;e;;television;t e l I v I Z @ n;;;;;;;
197280;6719;10;l;;television;t e l I v I Z @ n;;;;;;;
204000;1439;10;I;;television;t e l I v I Z @ n;;;;;;;
205440;1439;10;v;;television;t e l I v I Z @ n;;;;;;;
206880;4319;10;I;;television;t e l I v I Z @ n;;;;;;;
211200;1439;10;Z;;television;t e l I v I Z @ n;;;;;;;
212640;6239;10;@;;television;t e l I v I Z @ n;;;;;;;
218880;1919;10;n;;television;t e l I v I Z @ n;;;;;;;
220800;1439;11;{;;and;@ n d;;;;;;;
222240;5759;11;n;;and;@ n d;;;;;;;
228000;2399;12;T;;theatre;T I@ t @;;;;;;;
230400;9119;12;I@;;theatre;T I@ t @;;;;;;;
239520;1439;12;t;;theatre;T I@ t @;;;;;;;
240960;6719;12;@;;theatre;T I@ t @;;;;;;;
247680;8159;13;{;;actor;{ k t @;;;;;;;
255840;1439;13;k;;actor;{ k t @;;;;;;;
257280;3359;13;t;;actor;{ k t @;;;;;;;
260640;11519;13;@;;actor;{ k t @;;;;;;;
272160;19679;-1;<p:>;;;;;;;;;;
