BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;113759;-1;<p:>;;;;;;;;;;
113760;4799;0;h;;How;h aU;;;;;;;
118560;6719;0;aU;;How;h aU;;;;;;;
125280;2399;1;t;;to;t @;;;;;;;
127680;6719;1;@;;to;t @;;;;;;;
134400;1439;2;k;;Curse;k 3: s;;;;;;;
135840;5279;2;3:;;Curse;k 3: s;;;;;;;
141120;5279;2;s;;Curse;k 3: s;;;;;;;
146400;3359;3;w;;was;w Q z;;;;;;;
149760;1439;3;@;;was;w Q z;;;;;;;
151200;5279;3;z;;was;w Q z;;;;;;;
156480;2879;4;p;;performed;p @ f O: m d;;;;;;;
159360;4319;4;@;;performed;p @ f O: m d;;;;;;;
163680;3359;4;f;;performed;p @ f O: m d;;;;;;;
167040;6719;4;O:;;performed;p @ f O: m d;;;;;;;
173760;4799;4;m;;performed;p @ f O: m d;;;;;;;
178560;1919;4;d;;performed;p @ f O: m d;;;;;;;
180480;6239;5;@;;at;{ t;;;;;;;
186720;1439;5;t;;at;{ t;;;;;;;
188160;1439;6;b;;Bush;b U S;;;;;;;
189600;2879;6;U;;Bush;b U S;;;;;;;
192480;4319;6;S;;Bush;b U S;;;;;;;
196800;4319;7;T;;Theatre;T I@ t @;;;;;;;
201120;8639;7;I@;;Theatre;T I@ t @;;;;;;;
209760;1439;7;t;;Theatre;T I@ t @;;;;;;;
211200;2879;7;@;;Theatre;T I@ t @;;;;;;;
214080;3839;8;I;;in;I n;;;;;;;
217920;3359;8;n;;in;I n;;;;;;;
221280;1439;9;D;;the;D @;;;;;;;
222720;1439;9;@;;the;D @;;;;;;;
224160;3839;10;l;;London;l V n d @ n;;;;;;;
228000;4319;10;V;;London;l V n d @ n;;;;;;;
232320;2399;10;n;;London;l V n d @ n;;;;;;;
234720;3359;10;d;;London;l V n d @ n;;;;;;;
238080;5759;10;n;;London;l V n d @ n;;;;;;;
243840;1439;11;b;;Borough;b V r @;;;;;;;
245280;1439;11;V;;Borough;b V r @;;;;;;;
246720;6239;11;r;;Borough;b V r @;;;;;;;
252960;4319;11;@;;Borough;b V r @;;;;;;;
257280;1439;12;@;;of;Q v;;;;;;;
258720;1439;12;v;;of;Q v;;;;;;;
260160;3839;13;h;;Hammersmith;h { m @ s m I T;;;;;;;
264000;6239;13;{;;Hammersmith;h { m @ s m I T;;;;;;;
270240;4799;13;m;;Hammersmith;h { m @ s m I T;;;;;;;
275040;1919;13;@;;Hammersmith;h { m @ s m I T;;;;;;;
276960;6239;13;s;;Hammersmith;h { m @ s m I T;;;;;;;
283200;1439;13;m;;Hammersmith;h { m @ s m I T;;;;;;;
284640;2879;13;I;;Hammersmith;h { m @ s m I T;;;;;;;
287520;4799;13;D;;Hammersmith;h { m @ s m I T;;;;;;;
292320;1439;14;@;;and;@ n d;;;;;;;
293760;5759;14;n;;and;@ n d;;;;;;;
299520;1439;15;f;;Fulham;f j u: h { m;;;;;;;
300960;1439;15;j;;Fulham;f j u: h { m;;;;;;;
302400;8159;15;u:;;Fulham;f j u: h { m;;;;;;;
310560;1439;15;h;;Fulham;f j u: h { m;;;;;;;
312000;1439;15;{;;Fulham;f j u: h { m;;;;;;;
313440;34719;15;m;;Fulham;f j u: h { m;;;;;;;
