BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;54239;-1;<p:>;;;;;;;;;;
54240;2879;0;I;;In;I n;;;;;;;
57120;4799;0;n;;In;I n;;;;;;;
61920;2879;1;t;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
64800;4319;1;u:;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
69120;1439;1;T;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
70560;8639;1;aU;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
79200;2399;1;z;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
81600;3839;1;@;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
85440;2399;1;n;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
87840;1439;1;d;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
89280;3839;1;f;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
93120;9599;1;O:;;two-thousand-four;t u: T aU z @ n d f O:;;;;;;;
102720;1919;2;b;;Boulter;b u: l t @;;;;;;;
104640;1919;2;u:;;Boulter;b u: l t @;;;;;;;
106560;7679;2;l;;Boulter;b u: l t @;;;;;;;
114240;3359;2;t;;Boulter;b u: l t @;;;;;;;
117600;4319;2;@;;Boulter;b u: l t @;;;;;;;
121920;3359;3;l;;landed;l { n d I d;;;;;;;
125280;4799;3;{;;landed;l { n d I d;;;;;;;
130080;2879;3;n;;landed;l { n d I d;;;;;;;
132960;1439;3;d;;landed;l { n d I d;;;;;;;
134400;2879;3;I;;landed;l { n d I d;;;;;;;
137280;1439;3;d;;landed;l { n d I d;;;;;;;
138720;1919;4;eI;;a;eI;;;;;;;
140640;4799;5;r;;role;r @U l;;;;;;;
145440;6239;5;@U;;role;r @U l;;;;;;;
151680;3359;5;l;;role;r @U l;;;;;;;
155040;1919;6;@;;as;{ z;;;;;;;
156960;3839;6;z;;as;{ z;;;;;;;
160800;4799;7;k;;Craig;k r eI g;;;;;;;
165600;3839;7;r;;Craig;k r eI g;;;;;;;
169440;4319;7;eI;;Craig;k r eI g;;;;;;;
173760;1919;7;g;;Craig;k r eI g;;;;;;;
175680;1439;8;I;;in;I n;;;;;;;
177120;2399;8;n;;in;I n;;;;;;;
179520;1439;9;D;;the;D @;;;;;;;
180960;5279;9;I;;the;D @;;;;;;;
186240;8639;10;e;;episode;e p I s @U d;;;;;;;
194880;1439;10;p;;episode;e p I s @U d;;;;;;;
196320;1919;10;I;;episode;e p I s @U d;;;;;;;
198240;6239;10;s;;episode;e p I s @U d;;;;;;;
204480;7199;10;@U;;episode;e p I s @U d;;;;;;;
211680;1439;10;d;;episode;e p I s @U d;;;;;;;
213120;3839;11;t;;Teddy;t e d I;;;;;;;
216960;4799;11;e;;Teddy;t e d I;;;;;;;
221760;1439;11;d;;Teddy;t e d I;;;;;;;
223200;10559;11;I;;Teddy;t e d I;;;;;;;
233760;4319;12;s;;s;s;;;;;;;
238080;1919;13;s;;Story;s t O: r I;;;;;;;
240000;2879;13;t;;Story;s t O: r I;;;;;;;
242880;2879;13;O:;;Story;s t O: r I;;;;;;;
245760;1439;13;r;;Story;s t O: r I;;;;;;;
247200;9599;13;I;;Story;s t O: r I;;;;;;;
256800;1439;14;@;;of;Q v;;;;;;;
258240;1439;14;v;;of;Q v;;;;;;;
259680;1439;15;D;;the;D @;;;;;;;
261120;4319;15;I;;the;D @;;;;;;;
265440;3359;16;t;;television;t e l I v I Z @ n;;;;;;;
268800;2879;16;e;;television;t e l I v I Z @ n;;;;;;;
271680;5279;16;l;;television;t e l I v I Z @ n;;;;;;;
276960;1439;16;I;;television;t e l I v I Z @ n;;;;;;;
278400;3359;16;v;;television;t e l I v I Z @ n;;;;;;;
281760;4799;16;I;;television;t e l I v I Z @ n;;;;;;;
286560;1439;16;Z;;television;t e l I v I Z @ n;;;;;;;
288000;9599;16;@;;television;t e l I v I Z @ n;;;;;;;
297600;2879;16;n;;television;t e l I v I Z @ n;;;;;;;
300480;1919;17;s;;series;s I@ r i: z;;;;;;;
302400;4799;17;I@;;series;s I@ r i: z;;;;;;;
307200;2879;17;r;;series;s I@ r i: z;;;;;;;
310080;2399;17;i:;;series;s I@ r i: z;;;;;;;
312480;2399;17;z;;series;s I@ r i: z;;;;;;;
314880;1439;18;D;;The;D @;;;;;;;
316320;2399;18;@;;The;D @;;;;;;;
318720;5759;19;l;;Long;l Q N;;;;;;;
324480;5759;19;Q;;Long;l Q N;;;;;;;
330240;3359;19;N;;Long;l Q N;;;;;;;
333600;5279;20;f;;Firm;f 3: m;;;;;;;
338880;7199;20;3:;;Firm;f 3: m;;;;;;;
346080;18239;20;m;;Firm;f 3: m;;;;;;;
364320;2399;21;h;;he;h i:;;;;;;;
366720;5279;21;i:;;he;h i:;;;;;;;
372000;3359;22;s;;starred;s t A: d;;;;;;;
375360;2399;22;t;;starred;s t A: d;;;;;;;
377760;7199;22;A:;;starred;s t A: d;;;;;;;
