BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;56639;-1;<p:>;;;;;;;;;;
56640;1919;0;I;;In;I n;;;;;;;
58560;5279;0;n;;In;I n;;;;;;;
63840;2879;1;t;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
66720;4319;1;u:;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
71040;1919;1;T;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
72960;7679;1;aU;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
80640;4799;1;z;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
85440;4319;1;n;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
89760;1439;1;d;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
91200;4319;1;s;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
95520;9599;1;I;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
105120;1439;1;k;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
106560;7199;1;s;;two-thousand-six;t u: T aU z @ n d s I k s;;;;;;;
113760;5759;-1;<p:>;;;;;;;;;;
119520;1439;2;b;;Boulter;b u: l t @;;;;;;;
120960;1919;2;u:;;Boulter;b u: l t @;;;;;;;
122880;11999;2;l;;Boulter;b u: l t @;;;;;;;
134880;3359;2;t;;Boulter;b u: l t @;;;;;;;
138240;4319;2;@;;Boulter;b u: l t @;;;;;;;
142560;4319;3;s;;starred;s t A: d;;;;;;;
146880;2879;3;t;;starred;s t A: d;;;;;;;
149760;7199;3;A:;;starred;s t A: d;;;;;;;
156960;1439;3;d;;starred;s t A: d;;;;;;;
158400;1439;4;@;;alongside;@ l Q N s aI d;;;;;;;
159840;2879;4;l;;alongside;@ l Q N s aI d;;;;;;;
162720;6239;4;Q;;alongside;@ l Q N s aI d;;;;;;;
168960;2879;4;N;;alongside;@ l Q N s aI d;;;;;;;
171840;5279;4;s;;alongside;@ l Q N s aI d;;;;;;;
177120;9599;4;aI;;alongside;@ l Q N s aI d;;;;;;;
186720;1439;4;d;;alongside;@ l Q N s aI d;;;;;;;
188160;4319;5;w;;Whishaw;w I S O:;;;;;;;
192480;2399;5;I;;Whishaw;w I S O:;;;;;;;
194880;4799;5;S;;Whishaw;w I S O:;;;;;;;
199680;5759;5;U@;;Whishaw;w I S O:;;;;;;;
205440;2399;6;I;;in;I n;;;;;;;
207840;5759;6;n;;in;I n;;;;;;;
213600;1919;7;D;;the;D @;;;;;;;
215520;3359;7;@;;the;D @;;;;;;;
218880;1439;8;p;;play;p l eI;;;;;;;
220320;1439;8;l;;play;p l eI;;;;;;;
221760;10079;8;eI;;play;p l eI;;;;;;;
231840;1439;9;s;;Citizenship;s I t I z @ n S I p;;;;;;;
233280;2879;9;I;;Citizenship;s I t I z @ n S I p;;;;;;;
236160;1439;9;t;;Citizenship;s I t I z @ n S I p;;;;;;;
237600;2399;9;I;;Citizenship;s I t I z @ n S I p;;;;;;;
240000;4319;9;z;;Citizenship;s I t I z @ n S I p;;;;;;;
244320;1439;9;@;;Citizenship;s I t I z @ n S I p;;;;;;;
245760;3839;9;n;;Citizenship;s I t I z @ n S I p;;;;;;;
249600;3839;9;S;;Citizenship;s I t I z @ n S I p;;;;;;;
253440;5759;9;I;;Citizenship;s I t I z @ n S I p;;;;;;;
259200;1919;9;p;;Citizenship;s I t I z @ n S I p;;;;;;;
261120;1919;10;r;;written;r I t @ n;;;;;;;
263040;6239;10;I;;written;r I t @ n;;;;;;;
269280;1439;10;t;;written;r I t @ n;;;;;;;
270720;5759;10;n;;written;r I t @ n;;;;;;;
276480;1919;11;b;;by;b aI;;;;;;;
278400;4799;11;aI;;by;b aI;;;;;;;
283200;4319;12;m;;Mark;m A: k;;;;;;;
287520;8639;12;A:;;Mark;m A: k;;;;;;;
296160;2879;12;k;;Mark;m A: k;;;;;;;
299040;2879;13;r;;Ravenhill;r eI v @ n h I l;;;;;;;
301920;6719;13;eI;;Ravenhill;r eI v @ n h I l;;;;;;;
308640;1439;13;v;;Ravenhill;r eI v @ n h I l;;;;;;;
310080;7199;13;n;;Ravenhill;r eI v @ n h I l;;;;;;;
317280;1439;13;h;;Ravenhill;r eI v @ n h I l;;;;;;;
318720;5279;13;I;;Ravenhill;r eI v @ n h I l;;;;;;;
324000;12959;13;l;;Ravenhill;r eI v @ n h I l;;;;;;;
336960;18367;-1;<p:>;;;;;;;;;;
