BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;55679;-1;<p:>;;;;;;;;;;
55680;1439;0;h;;He;h i:;;;;;;;
57120;4799;0;i:;;He;h i:;;;;;;;
61920;1439;1;h;;had;h { d;;;;;;;
63360;4319;1;{;;had;h { d;;;;;;;
67680;1439;1;d;;had;h { d;;;;;;;
69120;5279;2;eI;;a;eI;;;;;;;
74400;2399;3;g;;guest;g e s t;;;;;;;
76800;4319;3;e;;guest;g e s t;;;;;;;
81120;2879;3;s;;guest;g e s t;;;;;;;
84000;1919;4;s;;starring;s t A: r I N;;;;;;;
85920;1439;4;t;;starring;s t A: r I N;;;;;;;
87360;8159;4;A:;;starring;s t A: r I N;;;;;;;
95520;5279;4;r;;starring;s t A: r I N;;;;;;;
100800;1439;4;I;;starring;s t A: r I N;;;;;;;
102240;1439;4;N;;starring;s t A: r I N;;;;;;;
103680;10079;-1;<p:>;;;;;;;;;;
113760;7679;5;r;;role;r @U l;;;;;;;
121440;6239;5;@U;;role;r @U l;;;;;;;
127680;10559;5;l;;role;r @U l;;;;;;;
138240;5759;6;Q;;on;Q n;;;;;;;
144000;1919;6;n;;on;Q n;;;;;;;
145920;1439;7;D;;the;D @;;;;;;;
147360;4799;7;I;;the;D @;;;;;;;
152160;3359;8;t;;television;t e l I v I Z @ n;;;;;;;
155520;2879;8;e;;television;t e l I v I Z @ n;;;;;;;
158400;5279;8;l;;television;t e l I v I Z @ n;;;;;;;
163680;1919;8;I;;television;t e l I v I Z @ n;;;;;;;
165600;2879;8;v;;television;t e l I v I Z @ n;;;;;;;
168480;3839;8;I;;television;t e l I v I Z @ n;;;;;;;
172320;1439;8;Z;;television;t e l I v I Z @ n;;;;;;;
173760;5279;8;@;;television;t e l I v I Z @ n;;;;;;;
179040;3839;8;n;;television;t e l I v I Z @ n;;;;;;;
182880;6239;9;s;;series;s I@ r i: z;;;;;;;
189120;4799;9;I@;;series;s I@ r i: z;;;;;;;
193920;2879;9;r;;series;s I@ r i: z;;;;;;;
196800;1919;9;i:;;series;s I@ r i: z;;;;;;;
198720;3359;9;z;;series;s I@ r i: z;;;;;;;
202080;2879;10;D;;The;D @;;;;;;;
204960;4319;10;@;;The;D @;;;;;;;
209280;2399;11;b;;Bill;b I l;;;;;;;
211680;1439;11;I;;Bill;b I l;;;;;;;
213120;4799;11;l;;Bill;b I l;;;;;;;
217920;1919;12;I;;in;I n;;;;;;;
219840;4319;12;n;;in;I n;;;;;;;
224160;2879;13;t;;two-thousand;t u: T aU z @ n d;;;;;;;
227040;4319;13;u:;;two-thousand;t u: T aU z @ n d;;;;;;;
231360;1439;13;T;;two-thousand;t u: T aU z @ n d;;;;;;;
232800;8639;13;aU;;two-thousand;t u: T aU z @ n d;;;;;;;
241440;4319;13;z;;two-thousand;t u: T aU z @ n d;;;;;;;
245760;3839;13;@;;two-thousand;t u: T aU z @ n d;;;;;;;
249600;13439;13;n;;two-thousand;t u: T aU z @ n d;;;;;;;
263040;2175;13;d;;two-thousand;t u: T aU z @ n d;;;;;;;
