BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;70559;-1;<p:>;;;;;;;;;;
70560;3359;0;D;;This;D I s;;;;;;;
73920;3839;0;I;;This;D I s;;;;;;;
77760;5279;0;s;;This;D I s;;;;;;;
83040;2399;1;w;;was;w Q z;;;;;;;
85440;1919;1;@;;was;w Q z;;;;;;;
87360;5279;1;z;;was;w Q z;;;;;;;
92640;1919;2;f;;followed;f Q l @U d;;;;;;;
94560;6719;2;Q;;followed;f Q l @U d;;;;;;;
101280;6239;2;l;;followed;f Q l @U d;;;;;;;
107520;4799;2;@U;;followed;f Q l @U d;;;;;;;
112320;1439;2;d;;followed;f Q l @U d;;;;;;;
113760;1439;3;b;;by;b aI;;;;;;;
115200;6719;3;aI;;by;b aI;;;;;;;
121920;4319;4;eI;;a;eI;;;;;;;
126240;5279;5;s;;starring;s t A: r I N;;;;;;;
131520;2879;5;t;;starring;s t A: r I N;;;;;;;
134400;3839;5;A:;;starring;s t A: r I N;;;;;;;
138240;1439;5;r;;starring;s t A: r I N;;;;;;;
139680;3839;5;I;;starring;s t A: r I N;;;;;;;
143520;4319;5;N;;starring;s t A: r I N;;;;;;;
147840;1919;6;r;;role;r @U l;;;;;;;
149760;1919;6;@U;;role;r @U l;;;;;;;
151680;6719;6;l;;role;r @U l;;;;;;;
158400;1439;7;I;;in;I n;;;;;;;
159840;5759;7;n;;in;I n;;;;;;;
165600;1439;8;D;;the;D @;;;;;;;
167040;3839;8;@;;the;D @;;;;;;;
170880;1439;9;p;;play;p l eI;;;;;;;
172320;1439;9;l;;play;p l eI;;;;;;;
173760;6239;9;eI;;play;p l eI;;;;;;;
180000;2879;10;h;;Herons;h e r @ n z;;;;;;;
182880;6239;10;e;;Herons;h e r @ n z;;;;;;;
189120;1439;10;r;;Herons;h e r @ n z;;;;;;;
190560;2399;10;@;;Herons;h e r @ n z;;;;;;;
192960;3359;10;n;;Herons;h e r @ n z;;;;;;;
196320;4799;10;z;;Herons;h e r @ n z;;;;;;;
201120;1439;11;r;;written;r I t @ n;;;;;;;
202560;6239;11;I;;written;r I t @ n;;;;;;;
208800;1439;11;t;;written;r I t @ n;;;;;;;
210240;5759;11;n;;written;r I t @ n;;;;;;;
216000;1919;12;b;;by;b aI;;;;;;;
217920;5759;12;aI;;by;b aI;;;;;;;
223680;5279;13;s;;Simon;s aI m @ n;;;;;;;
228960;7199;13;aI;;Simon;s aI m @ n;;;;;;;
236160;3839;13;m;;Simon;s aI m @ n;;;;;;;
